"","institution","collection","recordsets","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","contact","contact_role","contact_email","taxonomic_coverage","geographic_range","collection_size","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","update_url","lat","lon"
"131","Brigham Young University, Monte L. Bean Life Science Museum","S.L. Welsh Herbarium – Vascular Plants","","BRY<IH>","","urn:uuid:8e68e72c-c1d6-4705-8aa5-8e49fb7013ce","NA","http://mlbean.byu.edu/ResearchCollections/Collections/VascularPlants.aspx","http://lib.byu.edu/sites/scholarsarchive/life-sciences/s-l-welsh-herbarium-bry/","Leigh Johnson","Curator","leigh_johnson@byu.edu","Hydrophyllaceae, Fabaceae, Polemoniaceae","Western North America",600000,"645 E. 1430 N., Birgham Young University","Provo","Utah","84602","645 E. 1430 N., Birgham Young University","Provo","Utah","84602","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:8e68e72c-c1d6-4705-8aa5-8e49fb7013ce&entry.326174790=Brigham Young University, Monte L. Bean Life Science Museum&entry.2031121141=S.L. Welsh Herbarium – Vascular Plants&entry.4068754=BRY<IH>&entry.1582913154=&entry.1336841557=http://mlbean.byu.edu/ResearchCollections/Collections/VascularPlants.aspx&entry.103879345=http://lib.byu.edu/sites/scholarsarchive/life-sciences/s-l-welsh-herbarium-bry/&entry.107456176=Western North America&entry.879476273=Hydrophyllaceae, Fabaceae, Polemoniaceae&entry.417603227=600000&entry.1321049572=Leigh Johnson&entry.1687847097=Curator&entry.1086198428=leigh_johnson@byu.edu&entry.246950189=645 E. 1430 N., Birgham Young University&entry.1584255348=Provo&entry.1966582743=Utah&entry.256217142=84602&entry.447546773=645 E. 1430 N., Birgham Young University&entry.1565624766=Provo&entry.1920508789=Utah&entry.1022645685=84602",40.253045,-111.647688
"132","Brown University","Herbarium","","BRU<IH>","","urn:uuid:f8dc372c-6742-49a2-a602-78a352adfc15","urn:lsid:biocol.org:col:15210","http://www.brown.edu/research/projects/herbarium/","","Thimothy Whitfield","Collections Manager","Timothy_Whitfield@brown.edu","","",NA,"Ecology & Evolutionary Biology, Box G-B255, 34 Olive Street","Providence","Rhode Island","02912-0000","Ecology & Evolutionary Biology, Box G-B255, 34 Olive Street","Providence","Rhode Island","02912-0000","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:f8dc372c-6742-49a2-a602-78a352adfc15&entry.326174790=Brown University&entry.2031121141=Herbarium&entry.4068754=BRU<IH>&entry.1582913154=&entry.1336841557=http://www.brown.edu/research/projects/herbarium/&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Thimothy Whitfield&entry.1687847097=Collections Manager&entry.1086198428=Timothy_Whitfield@brown.edu&entry.246950189=Ecology & Evolutionary Biology, Box G-B255, 34 Olive Street&entry.1584255348=Providence&entry.1966582743=Rhode Island&entry.256217142=02912-0000&entry.447546773=Ecology & Evolutionary Biology, Box G-B255, 34 Olive Street&entry.1565624766=Providence&entry.1920508789=Rhode Island&entry.1022645685=02912-0000",41.818264,-71.377822
"133","Bucknell University, Wayne E. Manning Herbarium","Herbarium","","BUPL<IH>","","urn:uuid:ae111374-3f11-4000-b7d4-6c5aaaca228d","urn:lsid:biocol.org:col:12728","http://www.students.bucknell.edu/projects/herbarium/","","Christopher T. Martine","Director","chris.martine@bucknell.edu","","",NA,"Biology Department, Bucknell University","Lewisburg","Pennsylvania","17837","Biology Department, Bucknell University","Lewisburg","Pennsylvania","17837","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:ae111374-3f11-4000-b7d4-6c5aaaca228d&entry.326174790=Bucknell University, Wayne E. Manning Herbarium&entry.2031121141=Herbarium&entry.4068754=BUPL<IH>&entry.1582913154=&entry.1336841557=http://www.students.bucknell.edu/projects/herbarium/&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Christopher T. Martine&entry.1687847097=Director&entry.1086198428=chris.martine@bucknell.edu&entry.246950189=Biology Department, Bucknell University&entry.1584255348=Lewisburg&entry.1966582743=Pennsylvania&entry.256217142=17837&entry.447546773=Biology Department, Bucknell University&entry.1565624766=Lewisburg&entry.1920508789=Pennsylvania&entry.1022645685=17837",40.96103,-76.881788
"134","Buffalo Museum of Science","Anthropology","","","","urn:uuid:ba3979c8-701e-4ca1-96e7-c41c69eedc13","NA","http://www.sciencebuff.org/collections/research-collections/anthropology/","NA","","","","","",NA,"1020 Humboldt Parkway","Buffalo","New York","14211","1020 Humboldt Parkway","Buffalo","New York","14211","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:ba3979c8-701e-4ca1-96e7-c41c69eedc13&entry.326174790=Buffalo Museum of Science&entry.2031121141=Anthropology&entry.4068754=&entry.1582913154=&entry.1336841557=http://www.sciencebuff.org/collections/research-collections/anthropology/&entry.103879345=NA&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=&entry.1687847097=&entry.1086198428=&entry.246950189=1020 Humboldt Parkway&entry.1584255348=Buffalo&entry.1966582743=New York&entry.256217142=14211&entry.447546773=1020 Humboldt Parkway&entry.1565624766=Buffalo&entry.1920508789=New York&entry.1022645685=14211",42.90801,-78.843056
"135","Buffalo Museum of Science","Geology","","","","urn:uuid:0447e8aa-58b0-4430-b349-4cb50f4ed9e1","NA","http://www.sciencebuff.org/collections/research-collections/geology/","NA","Richard S. Laub","Curator","rlaub@sciencebuff.org","","",NA,"1020 Humboldt Parkway","Buffalo","New York","14211","1020 Humboldt Parkway","Buffalo","New York","14211","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:0447e8aa-58b0-4430-b349-4cb50f4ed9e1&entry.326174790=Buffalo Museum of Science&entry.2031121141=Geology&entry.4068754=&entry.1582913154=&entry.1336841557=http://www.sciencebuff.org/collections/research-collections/geology/&entry.103879345=NA&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Richard S. Laub&entry.1687847097=Curator&entry.1086198428=rlaub@sciencebuff.org&entry.246950189=1020 Humboldt Parkway&entry.1584255348=Buffalo&entry.1966582743=New York&entry.256217142=14211&entry.447546773=1020 Humboldt Parkway&entry.1565624766=Buffalo&entry.1920508789=New York&entry.1022645685=14211",42.90801,-78.843056
"136","Buffalo Museum of Science","Invertebrate Zoology","","","","urn:uuid:054cbf9b-47e0-4321-9bb7-ffaca3aeb598","NA","http://www.sciencebuff.org/collections/research-collections/invertebrate-zoology/","http://www.sciencebuff.org/collections/research-collections/invertebrate-zoology/","Mary Sahr","Research Scientist","msahr@sciencebuff.org","","",NA,"1020 Humboldt Parkway","Buffalo","New York","14211","1020 Humboldt Parkway","Buffalo","New York","14211","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:054cbf9b-47e0-4321-9bb7-ffaca3aeb598&entry.326174790=Buffalo Museum of Science&entry.2031121141=Invertebrate Zoology&entry.4068754=&entry.1582913154=&entry.1336841557=http://www.sciencebuff.org/collections/research-collections/invertebrate-zoology/&entry.103879345=http://www.sciencebuff.org/collections/research-collections/invertebrate-zoology/&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Mary Sahr&entry.1687847097=Research Scientist&entry.1086198428=msahr@sciencebuff.org&entry.246950189=1020 Humboldt Parkway&entry.1584255348=Buffalo&entry.1966582743=New York&entry.256217142=14211&entry.447546773=1020 Humboldt Parkway&entry.1565624766=Buffalo&entry.1920508789=New York&entry.1022645685=14211",42.90801,-78.843056
"137","Buffalo Museum of Science","Mycology","","","","urn:uuid:8438e53a-8885-4562-bada-8a9a2ba65097","NA","http://www.sciencebuff.org/collections/research-collections/mycology/","NA","Ernst E. Both","Curator Emeritus","eboth@sciencebuff.org","","",NA,"1020 Humboldt Parkway","Buffalo","New York","14211","1020 Humboldt Parkway","Buffalo","New York","14211","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:8438e53a-8885-4562-bada-8a9a2ba65097&entry.326174790=Buffalo Museum of Science&entry.2031121141=Mycology&entry.4068754=&entry.1582913154=&entry.1336841557=http://www.sciencebuff.org/collections/research-collections/mycology/&entry.103879345=NA&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Ernst E. Both&entry.1687847097=Curator Emeritus&entry.1086198428=eboth@sciencebuff.org&entry.246950189=1020 Humboldt Parkway&entry.1584255348=Buffalo&entry.1966582743=New York&entry.256217142=14211&entry.447546773=1020 Humboldt Parkway&entry.1565624766=Buffalo&entry.1920508789=New York&entry.1022645685=14211",42.90801,-78.843056
"138","Buffalo Museum of Science","Vertebrate Zoology","","","","urn:uuid:06e3e47e-5a67-4280-9f0e-acc2cf547021","NA","http://www.sciencebuff.org/collections/research-collections/vertebrate-zoology/","NA","Sara Morris","Research Scientist","morriss@canisius.edu","","",NA,"1020 Humboldt Parkway","Buffalo","New York","14211","1020 Humboldt Parkway","Buffalo","New York","14211","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:06e3e47e-5a67-4280-9f0e-acc2cf547021&entry.326174790=Buffalo Museum of Science&entry.2031121141=Vertebrate Zoology&entry.4068754=&entry.1582913154=&entry.1336841557=http://www.sciencebuff.org/collections/research-collections/vertebrate-zoology/&entry.103879345=NA&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Sara Morris&entry.1687847097=Research Scientist&entry.1086198428=morriss@canisius.edu&entry.246950189=1020 Humboldt Parkway&entry.1584255348=Buffalo&entry.1966582743=New York&entry.256217142=14211&entry.447546773=1020 Humboldt Parkway&entry.1565624766=Buffalo&entry.1920508789=New York&entry.1022645685=14211",42.90801,-78.843056
"139","Buffalo Museum of Science, The Clinton Herbarium","Botany Collections","","BUF<IH>","","urn:uuid:b9161333-5e61-45d7-a95b-7d80931a79d2","urn:lsid:biocol.org:col:14900","http://www.sciencebuff.org/collections/research-collections/botany/","NA","Kathy Leacock","Curator","kleacock@sciencebuff.org","","",NA,"1020 Humboldt Parkway","Buffalo","New York","14211","1020 Humboldt Parkway","Buffalo","New York","14211","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:b9161333-5e61-45d7-a95b-7d80931a79d2&entry.326174790=Buffalo Museum of Science, The Clinton Herbarium&entry.2031121141=Botany Collections&entry.4068754=BUF<IH>&entry.1582913154=&entry.1336841557=http://www.sciencebuff.org/collections/research-collections/botany/&entry.103879345=NA&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Kathy Leacock&entry.1687847097=Curator&entry.1086198428=kleacock@sciencebuff.org&entry.246950189=1020 Humboldt Parkway&entry.1584255348=Buffalo&entry.1966582743=New York&entry.256217142=14211&entry.447546773=1020 Humboldt Parkway&entry.1565624766=Buffalo&entry.1920508789=New York&entry.1022645685=14211",42.90801,-78.843056
"140","Bureau of Land Management","Herbarium","","UI<IH>","","urn:uuid:6fc9fabb-c938-4124-ab56-ddf909749ffe","urn:lsid:biocol.org:col:15450","","","","","","","",NA,"Field Office, 170 South 500 East","Vernal","Utah","84078-2799","","Vernal","Utah","84078-2799","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:6fc9fabb-c938-4124-ab56-ddf909749ffe&entry.326174790=Bureau of Land Management&entry.2031121141=Herbarium&entry.4068754=UI<IH>&entry.1582913154=&entry.1336841557=&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=&entry.1687847097=&entry.1086198428=&entry.246950189=Field Office, 170 South 500 East&entry.1584255348=Vernal&entry.1966582743=Utah&entry.256217142=84078-2799&entry.447546773=&entry.1565624766=Vernal&entry.1920508789=Utah&entry.1022645685=84078-2799",40.630436,-109.483101
"141","Bureau of Land Management, Winnemucca District","Herbarium","","WDNE<IH>","","urn:uuid:1d34edee-4810-481e-8544-2e9b26d8df5c","urn:lsid:biocol.org:col:14926","","","","","","","",NA,"5100 East Winnemucca Boulevard","Winnemucca","Nevada","89445","","Winnemucca","Nevada","89445","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:1d34edee-4810-481e-8544-2e9b26d8df5c&entry.326174790=Bureau of Land Management, Winnemucca District&entry.2031121141=Herbarium&entry.4068754=WDNE<IH>&entry.1582913154=&entry.1336841557=&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=&entry.1687847097=&entry.1086198428=&entry.246950189=5100 East Winnemucca Boulevard&entry.1584255348=Winnemucca&entry.1966582743=Nevada&entry.256217142=89445&entry.447546773=&entry.1565624766=Winnemucca&entry.1920508789=Nevada&entry.1022645685=89445",41.213481,-117.706799
"142","Burpee Museum of Natural History","","","BURP","","urn:uuid:f316a6f3-20b0-4148-9061-ffe57c2c8792","","http://www.burpee.org/page.asp?PageID=21","NA","Scott Williams","Director of Science & Exhibitis","scott.williams@burpee.org","","",NA,"737 North Main St.","Rockford","Illinois","61103","737 North Main St.","Rockford","Illinois","61103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:f316a6f3-20b0-4148-9061-ffe57c2c8792&entry.326174790=Burpee Museum of Natural History&entry.2031121141=&entry.4068754=BURP&entry.1582913154=&entry.1336841557=http://www.burpee.org/page.asp?PageID=21&entry.103879345=NA&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Scott Williams&entry.1687847097=Director of Science & Exhibitis&entry.1086198428=scott.williams@burpee.org&entry.246950189=737 North Main St.&entry.1584255348=Rockford&entry.1966582743=Illinois&entry.256217142=61103&entry.447546773=737 North Main St.&entry.1565624766=Rockford&entry.1920508789=Illinois&entry.1022645685=61103",42.27711,-89.089561
"143","Butler University","Herbarium","be31dfd1-c721-4697-8ee0-f7043c070810","BUT<IH>","","urn:uuid:88d5cf36-0656-4e0f-ac88-fde80aad62b3","urn:lsid:biocol.org:col:15725","http://www.butler.edu/herbarium","","Rebecca W. Dolan","Director","rdolan@butler.edu","","",NA,"4600 Sunset Ave","Indianapolis","Indiana","46208","4600 Sunset Avenue.","Indianapolis","Indiana","46208","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:88d5cf36-0656-4e0f-ac88-fde80aad62b3&entry.326174790=Butler University&entry.2031121141=Herbarium&entry.4068754=BUT<IH>&entry.1582913154=&entry.1336841557=http://www.butler.edu/herbarium&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Rebecca W. Dolan&entry.1687847097=Director&entry.1086198428=rdolan@butler.edu&entry.246950189=4600 Sunset Ave&entry.1584255348=Indianapolis&entry.1966582743=Indiana&entry.256217142=46208&entry.447546773=4600 Sunset Avenue.&entry.1565624766=Indianapolis&entry.1920508789=Indiana&entry.1022645685=46208",39.83941,-86.168921
"144","C.M. Rick Tomato Genetics Resource Center","","","TGRC","","urn:uuid:b31e8bc8-2df5-4b8e-85d2-cd768ac6ef90","","http://tgrc.ucdavis.edu/index.aspx","","Roger Chetelat","","trchetelat@ucdavis.edu","","",NA,"Tomato Genetics Resource Center, Department of Plant Sciences, Mail Stop 3, One Shields Avenue","Davis","California","95616","Tomato Genetics Resource Center, Department of Plant Sciences, Mail Stop 3, One Shields Avenue","Davis","California","95616","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:b31e8bc8-2df5-4b8e-85d2-cd768ac6ef90&entry.326174790=C.M. Rick Tomato Genetics Resource Center&entry.2031121141=&entry.4068754=TGRC&entry.1582913154=&entry.1336841557=http://tgrc.ucdavis.edu/index.aspx&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Roger Chetelat &entry.1687847097=&entry.1086198428=trchetelat@ucdavis.edu&entry.246950189=Tomato Genetics Resource Center, Department of Plant Sciences, Mail Stop 3, One Shields Avenue&entry.1584255348=Davis&entry.1966582743=California&entry.256217142=95616&entry.447546773=Tomato Genetics Resource Center, Department of Plant Sciences, Mail Stop 3, One Shields Avenue&entry.1565624766=Davis&entry.1920508789=California&entry.1022645685=95616",38.558945,-121.734194
"145","California Academy of Sciences","MAIN","","","","urn:uuid:00398578-7728-4ee5-8ad6-acaead64c076","NA","http://research.calacademy.org/","","","","info@calacademy.org","","",NA,"California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:00398578-7728-4ee5-8ad6-acaead64c076&entry.326174790=California Academy of Sciences&entry.2031121141=MAIN&entry.4068754=&entry.1582913154=&entry.1336841557=http://research.calacademy.org/&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=&entry.1687847097=&entry.1086198428=info@calacademy.org&entry.246950189=California Academy of Sciences, 55 Music Concourse Drive&entry.1584255348=San Francisco&entry.1966582743=California&entry.256217142=94118&entry.447546773=California Academy of Sciences, 55 Music Concourse Drive&entry.1565624766=San Francisco&entry.1920508789=California&entry.1022645685=94118",37.784824,-122.463987
"146","California Academy of Sciences","Entomology","87c45c90-ba1d-409e-a9d7-9baf5a5cbb1c, ded380b5-1ba2-4089-8e0c-0aa1b4140785","CAS","ENT","urn:uuid:402c39b4-53e9-4c92-acbb-cd287623366a","http://grbio.org/cool/fazv-d9yv","http://research.calacademy.org/ent","http://collections.calacademy.org/ent/","Norm Penny","Collections Manager","npenny@calacademy.org","Coleoptera, Embiidina, Diptera, Hymenoptera, Neuropteroida, Arachnida","Western North America, Baja California, Galapagos Islands, western South America, the Philippines, the Indo-Australian region, Africa, Madagascar",10000000,"California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:402c39b4-53e9-4c92-acbb-cd287623366a&entry.326174790=California Academy of Sciences&entry.2031121141=Entomology&entry.4068754=CAS&entry.1582913154=ENT&entry.1336841557=http://research.calacademy.org/ent&entry.103879345=http://collections.calacademy.org/ent/&entry.107456176=Western North America, Baja California, Galapagos Islands, western South America, the Philippines, the Indo-Australian region, Africa, Madagascar&entry.879476273=Coleoptera, Embiidina, Diptera, Hymenoptera, Neuropteroida, Arachnida&entry.417603227=10000000&entry.1321049572=Norm Penny&entry.1687847097=Collections Manager&entry.1086198428=npenny@calacademy.org&entry.246950189=California Academy of Sciences, 55 Music Concourse Drive&entry.1584255348=San Francisco&entry.1966582743=California&entry.256217142=94118&entry.447546773=California Academy of Sciences, 55 Music Concourse Drive&entry.1565624766=San Francisco&entry.1920508789=California&entry.1022645685=94118",37.784824,-122.463987
"147","California Department of Food and Agriculture","CDFA Nematode Collection","","CDFA","","urn:uuid:d208db4b-eb06-4c2a-af5f-fb1655dbd3c4","NA","http://www.cdfa.ca.gov/plant/ppd/nemacoll.html","NA","John Chitambar","Co-Curator","jchitambar@cdfa.ca.gov","Tylenchida, Aphelenchida, and Dorylaimida","",12000,"CDFA - Plant Pest Diagnostics Branch, 3294 Meadowview Rd.","Sacramento","California","95832","CDFA - Plant Pest Diagnostics Branch, 3294 Meadowview Rd.","Sacramento","California","95832","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:d208db4b-eb06-4c2a-af5f-fb1655dbd3c4&entry.326174790=California Department of Food and Agriculture&entry.2031121141=CDFA Nematode Collection&entry.4068754=CDFA&entry.1582913154=&entry.1336841557=http://www.cdfa.ca.gov/plant/ppd/nemacoll.html&entry.103879345=NA&entry.107456176=&entry.879476273=Tylenchida, Aphelenchida, and Dorylaimida&entry.417603227=12000&entry.1321049572=John Chitambar&entry.1687847097=Co-Curator&entry.1086198428=jchitambar@cdfa.ca.gov&entry.246950189=CDFA - Plant Pest Diagnostics Branch, 3294 Meadowview Rd.&entry.1584255348=Sacramento&entry.1966582743=California&entry.256217142=95832&entry.447546773=CDFA - Plant Pest Diagnostics Branch, 3294 Meadowview Rd.&entry.1565624766=Sacramento&entry.1920508789=California&entry.1022645685=95832",38.481269,-121.505073
"148","California Academy of Sciences","Herpetology","51b958bb-9d5f-48d7-9a97-e372c0c747c3","CAS","SUR,HERP","urn:uuid:55c39349-ad1f-4b3b-8813-3f161c9ad73c","http://grbio.org/cool/ctgi-sgnr","http://research.calacademy.org/herp","http://collections.calacademy.org/herp/","Jens V. Vindum","Senior Collections Manager","jvindum@calacademy.org","","Western North America and Mexico, Southwest and Southeast Asia, Oceania, and northern, southern and eastern Africa",300000,"California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:55c39349-ad1f-4b3b-8813-3f161c9ad73c&entry.326174790=California Academy of Sciences&entry.2031121141=Herpetology&entry.4068754=CAS&entry.1582913154=SUR,HERP&entry.1336841557=http://research.calacademy.org/herp&entry.103879345=http://collections.calacademy.org/herp/&entry.107456176=Western North America and Mexico, Southwest and Southeast Asia, Oceania, and northern, southern and eastern Africa&entry.879476273=&entry.417603227=300000&entry.1321049572=Jens V. Vindum&entry.1687847097=Senior Collections Manager&entry.1086198428=jvindum@calacademy.org&entry.246950189=California Academy of Sciences, 55 Music Concourse Drive&entry.1584255348=San Francisco&entry.1966582743=California&entry.256217142=94118&entry.447546773=California Academy of Sciences, 55 Music Concourse Drive&entry.1565624766=San Francisco&entry.1920508789=California&entry.1022645685=94118",37.784824,-122.463987
"149","California Academy of Sciences","Ichthyology","beb74dc2-22ea-49e4-b1e3-bedb8e06e8f2","CAS","ICH","urn:uuid:7e32a494-3e8f-429d-b3dc-330d65a90c1d","http://grbio.org/cool/81rs-70nq","http://research.calacademy.org/ichthyology","http://collections.calacademy.org/ich/","David Catania","Senior Collections Manager","dcatania@calacademy.org","","Marine: Western and central Pacific, California; Freshwater: South America, southeastern Asia.",1200000,"California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:7e32a494-3e8f-429d-b3dc-330d65a90c1d&entry.326174790=California Academy of Sciences&entry.2031121141=Ichthyology&entry.4068754=CAS&entry.1582913154=ICH&entry.1336841557=http://research.calacademy.org/ichthyology&entry.103879345=http://collections.calacademy.org/ich/&entry.107456176=Marine: Western and central Pacific, California; Freshwater: South America, southeastern Asia.&entry.879476273=&entry.417603227=1200000&entry.1321049572=David Catania&entry.1687847097=Senior Collections Manager&entry.1086198428=dcatania@calacademy.org&entry.246950189=California Academy of Sciences, 55 Music Concourse Drive&entry.1584255348=San Francisco&entry.1966582743=California&entry.256217142=94118&entry.447546773=California Academy of Sciences, 55 Music Concourse Drive&entry.1565624766=San Francisco&entry.1920508789=California&entry.1022645685=94118",37.784824,-122.463987
"150","California Academy of Sciences","Invertebrate Zoology & Geology","bd61c458-b865-4b05-9f1f-735c49066e55","CAS","IZ","urn:uuid:9d5e7cd2-2daa-46a1-ae16-b38ecec83b8b","http://grbio.org/cool/2cwj-yad2","http://research.calacademy.org/izg","http://collections.calacademy.org/iz/","Christina Piotrowski","Collections Manager","cpiotrowski@calacademy.org","Opisthobranchia, Octocorallia, Cirripedia, Echinoidea","Eastern North America, Papua New Guinea, the Philippines, Central Pacific, Antarctica",150000,"California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","California Academy of Sciences, 55 Music Concourse Drive","San Francisco","California","94118","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:9d5e7cd2-2daa-46a1-ae16-b38ecec83b8b&entry.326174790=California Academy of Sciences&entry.2031121141=Invertebrate Zoology & Geology&entry.4068754=CAS&entry.1582913154=IZ&entry.1336841557=http://research.calacademy.org/izg&entry.103879345=http://collections.calacademy.org/iz/&entry.107456176=Eastern North America, Papua New Guinea, the Philippines, Central Pacific, Antarctica&entry.879476273=Opisthobranchia, Octocorallia, Cirripedia, Echinoidea&entry.417603227=150000&entry.1321049572=Christina Piotrowski&entry.1687847097=Collections Manager&entry.1086198428=cpiotrowski@calacademy.org&entry.246950189=California Academy of Sciences, 55 Music Concourse Drive&entry.1584255348=San Francisco&entry.1966582743=California&entry.256217142=94118&entry.447546773=California Academy of Sciences, 55 Music Concourse Drive&entry.1565624766=San Francisco&entry.1920508789=California&entry.1022645685=94118",37.784824,-122.463987
